Jackie Stewart,"Argentine Grand Prix, Belgian Grand Prix, British Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Monaco Grand Prix, South African Grand Prix, Spanish Grand Prix, United States Grand Prix",12,Sí
Jenson Button,"Australian Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, Canadian Grand Prix, Chinese Grand Prix, Hungarian Grand Prix, Japanese Grand Prix, Malaysian Grand Prix, Monaco Grand Prix, Spanish Grand Prix, Turkish Grand Prix",12,Sí
Alan Jones,"Argentine Grand Prix, Austrian Grand Prix, British Grand Prix, Caesars Palace Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, United States Grand Prix, United States Grand Prix West",10,Sí
Mario Andretti,"Argentine Grand Prix, Belgian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Japanese Grand Prix, South African Grand Prix, Spanish Grand Prix, United States Grand Prix West",10,Sí
Juan Fangio,"Argentine Grand Prix, Belgian Grand Prix, British Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Monaco Grand Prix, Spanish Grand Prix, Swiss Grand Prix",10,Sí
Emerson Fittipaldi,"Argentine Grand Prix, Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Italian Grand Prix, Spanish Grand Prix, United States Grand Prix",9,Sí
Jim Clark,"Belgian Grand Prix, British Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Mexican Grand Prix, South African Grand Prix, United States Grand Prix",9,Sí
Jacques Villeneuve,"Argentine Grand Prix, Austrian Grand Prix, Brazilian Grand Prix, British Grand Prix, European Grand Prix, Hungarian Grand Prix, Luxembourg Grand Prix, Portuguese Grand Prix, Spanish Grand Prix",9,Sí
Jack Brabham,"Belgian Grand Prix, British Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, South African Grand Prix",9,Sí
Graham Hill,"Dutch Grand Prix, German Grand Prix, Italian Grand Prix, Mexican Grand Prix, Monaco Grand Prix, South African Grand Prix, Spanish Grand Prix, United States Grand Prix",8,Sí
James Hunt,"British Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Japanese Grand Prix, Spanish Grand Prix, United States Grand Prix",8,Sí
Denny Hulme,"Argentine Grand Prix, Canadian Grand Prix, German Grand Prix, Italian Grand Prix, Mexican Grand Prix, Monaco Grand Prix, South African Grand Prix, Swedish Grand Prix",8,Sí
Alberto Ascari,"Argentine Grand Prix, Belgian Grand Prix, British Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Swiss Grand Prix",8,Sí
Jody Scheckter,"Argentine Grand Prix, Belgian Grand Prix, British Grand Prix, Canadian Grand Prix, Italian Grand Prix, Monaco Grand Prix, South African Grand Prix, Swedish Grand Prix",8,Sí
Jochen Rindt,"British Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Monaco Grand Prix, United States Grand Prix",6,Sí
Nino Farina,"Belgian Grand Prix, British Grand Prix, German Grand Prix, Italian Grand Prix, Swiss Grand Prix",5,Sí
Keke Rosberg,"Australian Grand Prix, Dallas Grand Prix, Detroit Grand Prix, Monaco Grand Prix, Swiss Grand Prix",5,Sí
Stirling Moss,"Argentine Grand Prix, British Grand Prix, Dutch Grand Prix, German Grand Prix, Italian Grand Prix, Monaco Grand Prix, Moroccan Grand Prix, Pescara Grand Prix, Portuguese Grand Prix, United States Grand Prix",10,No
David Coulthard,"Australian Grand Prix, Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, French Grand Prix, Italian Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, San Marino Grand Prix",10,No
Carlos Reutemann,"Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, German Grand Prix, Monaco Grand Prix, South African Grand Prix, United States Grand Prix, United States Grand Prix West",9,No
Valtteri Bottas,"Abu Dhabi Grand Prix, Australian Grand Prix, Austrian Grand Prix, Azerbaijan Grand Prix, Japanese Grand Prix, Russian Grand Prix, Turkish Grand Prix, United States Grand Prix",8,No
Daniel Ricciardo,"Azerbaijan Grand Prix, Belgian Grand Prix, Canadian Grand Prix, Chinese Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Malaysian Grand Prix, Monaco Grand Prix",8,No
Rubens Barrichello,"British Grand Prix, Chinese Grand Prix, European Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, United States Grand Prix",8,No
René Arnoux,"Brazilian Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, South African Grand Prix",7,No
Felipe Massa,"Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, European Grand Prix, French Grand Prix, Spanish Grand Prix, Turkish Grand Prix",7,No
Gerhard Berger,"Australian Grand Prix, Canadian Grand Prix, German Grand Prix, Italian Grand Prix, Japanese Grand Prix, Mexican Grand Prix, Portuguese Grand Prix",7,No
Charles Leclerc,"Australian Grand Prix, Austrian Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Italian Grand Prix, Monaco Grand Prix",6,No
Jacques Laffite,"Argentine Grand Prix, Austrian Grand Prix, Brazilian Grand Prix, Canadian Grand Prix, German Grand Prix, Swedish Grand Prix",6,No
Jacky Ickx,"Austrian Grand Prix, Canadian Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Mexican Grand Prix",6,No
Ronnie Peterson,"Austrian Grand Prix, French Grand Prix, Italian Grand Prix, Monaco Grand Prix, South African Grand Prix, United States Grand Prix",6,No
Riccardo Patrese,"Japanese Grand Prix, Mexican Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, South African Grand Prix",6,No
Ralf Schumacher,"Canadian Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Malaysian Grand Prix, San Marino Grand Prix",6,No
Mark Webber,"Brazilian Grand Prix, British Grand Prix, German Grand Prix, Hungarian Grand Prix, Monaco Grand Prix, Spanish Grand Prix",6,No
Gilles Villeneuve,"Canadian Grand Prix, Monaco Grand Prix, South African Grand Prix, Spanish Grand Prix, United States Grand Prix, United States Grand Prix West",6,No
Sergio Pérez,"Azerbaijan Grand Prix, Monaco Grand Prix, Sakhir Grand Prix, Saudi Arabian Grand Prix, Singapore Grand Prix",5,No
Juan Pablo Montoya,"Brazilian Grand Prix, British Grand Prix, German Grand Prix, Italian Grand Prix, Monaco Grand Prix",5,No
Michele Alboreto,"Belgian Grand Prix, Caesars Palace Grand Prix, Canadian Grand Prix, Detroit Grand Prix, German Grand Prix",5,No
John Watson,"Austrian Grand Prix, Belgian Grand Prix, British Grand Prix, Detroit Grand Prix, United States Grand Prix West",5,No
Tony Brooks,"Belgian Grand Prix, British Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix",5,No
